"slug","status","svg","pdf"
"beam","200","8","yes"
"rectangular-column","200","5","yes"
"circular-column","200","3","yes"
"isolated-footing","200","11","yes"
"strip-footing","200","3","yes"
"tie-beam","200","2","yes"
"one-way-slab","200","3","yes"
"two-way-slab","200","1","yes"
"shear-wall","200","4","yes"
"stair-slab","200","2","yes"
"lintel","200","2","yes"
"retaining-wall","200","12","yes"
"beam-column-joint","200","2","yes"
"diafragma","200","2","yes"
"esbeltez-columna","200","2","yes"
"punzonamiento-momento","200","5","yes"
"combined-footing","200","2","yes"
"mat-foundation","200","1","yes"
"pile-cap","200","2","yes"
"confined-masonry","200","2","yes"
"desarrollo-empalmes","200","6","yes"
"flexion-biaxial","200","1","yes"
"torsion-viga","200","4","yes"
"deflexion-largo-plazo","200","3","yes"
"fisuracion","200","3","yes"
"strut-tie","200","1","yes"
"geotecnica/spt","200","0","no"
"geotecnica/cpt","200","0","no"
"geotecnica/capacidad-portante","200","0","no"
"geotecnica/asentamientos","200","0","no"
"geotecnica/rigidez-resorte","200","0","no"
"geotecnica/taludes","200","0","no"
"geotecnica/licuefaccion","200","0","no"
"geotecnica/perfil","200","0","no"
"geotecnica/muros-tipologia","200","0","no"
